Dataset,Satır Sayısı,Accuracy,Precision,Recall,F1 Score
Original,142193,0.8533000457118746,0.768986568986569,0.4939607843137255,0.6015281757402101
Missing Noise,142193,0.8502408664158374,0.7631840796019901,0.4812549019607843,0.5902837902837903
Outlier Noise,142193,0.8522803192798621,0.7662910338069574,0.49066666666666664,0.5982595390647413
Missing + Outlier Noise,142193,0.8489046731600971,0.7625063163213744,0.47341176470588237,0.584147875737927
Pattern Low,142193,0.8501002144941805,0.7559379544352884,0.4892549019607843,0.5940386629844777
Pattern Medium,142193,0.8517880375540631,0.7632862018527548,0.4911372549019608,0.5976901784862079
Pattern High,142193,0.8484475544147122,0.7480182560653375,0.4884705882352941,0.5910039855760106
